,title,description
21,"
Which clubs will be promoted to the Premier League this season?
",Leicester City and Ipswich Town have clinched promotion ahead of the four-team Championship playoffs
22,"
Betting NFL win totals: Strength of schedule, miles traveled, rest advantage broken down for every team
",Kansas City Chiefs’ road to the Super Bowl easier than last season?
23,"
Dr. Diandra: All-Star Race a proving ground for softer tire 
",This year’s All-Star Race is more than just a contest with a $1 million purse. It’s a chance to remedy the Next Gen car’s shortcomings on short tracks.
24,"
76ers Tyrese Maxey wins 2024 NBA Sportsmanship Award
",He already won Most Improved Player.
25,"
Chad Kelly withdraws from Toronto Argonauts training camp
","Toronto Argonauts quarterback Chad Kelly, who faces a suspension of at least nine games after investigating a lawsuit filed by a former strength and conditioning coach, has withdrawn from training camp. "
26,"
Chargers sign fourth-round pick Justin Eboigbe
",The Chargers have taken care of business with another one of their rookies. 
27,"
PGA Championship: Michael Block makes quadruple bogey on second hole
",Block was the Cinderella story a year ago but struggled immediately at Valhalla.
28,"
Falcons cut OLB Ade Ogundeji
","The Falcons released outside linebacker Ade Ogundeji, the team announced Thursday. "
29,"
Crystal Palace vs Aston Villa: How to watch live, stream link, team news
",Crystal Palace look to take their red-hot form into the offseason when Aston Villa visit Selhurst Park on Championship Sunday.
30,"
Luton vs Fulham: How to watch live, stream link, team news
",Luton Town are hoping for a miraculous escape from the bottom three despite monumentally poor odds when they host Fulham on Championship Sunday
31,"
Liverpool vs Wolves: How to watch live, stream link, team news
",Jurgen Klopp presides over his final match as Liverpool boss on Championship Sunday when Anfield hosts Wolves in the final Premier League game of their seasons.
32,"
NFL gave Jets six early prime-time games because they “kind of owe us one”
",The Jets have seven standalone games — six of them in prime-time — during the first 11 weeks of the season. 
33,"
Marcus Ericsson OK after slamming Turn 4 walls, attenuator during Indy 500 practice wreck
",The Andretti Global driver brushed the curb in his No. 28 Dallara-Honda.
34,"
Tiger Woods off to best major start in over two years, still well back at PGA
",The four-time PGA Championship winner admitted that it took him three holes to get into the “competitive flow.”
35,"
Browns waive OT Kellen Diesch after failed physical
",The Browns claimed offensive tackle Kellen Diesch off waivers from the Steelers on Tuesday. 
36,"
NASCAR Best Bets: All-Star Weekend at North Wilkesboro
",Twenty drivers vie for $1 million Prize
37,"
Michael Brockers announces his retirement
",Defensive tackle Michael Brockers has announced his retirement. 
38,"
Viktor Hovland (68) returns to swing coach Joe Mayo to spark slumping game
",Hovland has struggled after a breakout year and nearly winning the 2023 PGA.
39,"
Chiefs have no comment (for now) on Harrison Butker’s controversial remarks; NFL does
",Chiefs kicker Harrison Butker recently gave a commencement address at Benedictine College. 
40,"
Arizona State coach reflects on ‘hard lesson’ after shocking NCAA regional exit
",The Sun Devils became just the fifth No. 1 seed ever to not make it through NCAA regionals.
41,"
Xander Schauffele makes major history (again) at PGA Championship but, ‘It’s just Thursday’
",The world No. 3 shot a flawless 62 Thursday at Valhalla to match the major championship record.
42,"
Burnley vs Nottingham Forest: How to watch live, stream link, team news
",Already-relegated Burnley host Nottingham Forest on Championship Sunday with Forest basically safe from relegation barring an incredible set of events. 
43,"
Jacoby Brissett wants to be best mentor he can be while competing for starting job
",Some veteran quarterbacks aren’t as helpful to their potential replacement as others are. 
44,"
Tyquan Thornton hopes playing at a heavier weight leads to better health
",Patriots wide receiver Tyquan Thornton is hoping that changing his body will lead to more time on the field in 2024. 
45,"
Rory McIlroy happier with score than game after opening 66 at PGA Championship
","McIlroy shot 66 and is four off the lead, but he wasn’t fully pleased with his play."
46,"
Lowest scores in men’s golf major history: Rounds of 63 and lower in Masters, PGA, U.S. Open and The Open
",Here’s a look at every player who has at least shot 63 in a men’s major.
47,"
Jaguars sign DBs Terrell Edmunds, Tre Flowers
",The Jaguars announced five roster moves Thursday. 
48,"
Chelsea vs Bournemouth: How to watch live, stream link, team news
",Chelsea host Bournemouth on Championship Sunday aiming to seal European qualification. 
49,"
Premier League Power Rankings: Week 37 of 2023-24 season
",The Premier League is entering the final matchweek of the season and plenty of teams are surging to the finish line. 
50,"
Which Premier League teams can qualify for the 2024-25 Champions League, Europa, or Conference Leagues?
","Eight of the Premier League’s 20 teams remain eligible for European qualification next season, and the FA Cup Final will likely have a big say in who gets there after Manchester United’s recent stumbles."
51,"
Premier League 2023-24 goals leaders: Who will win the Golden Boot? Haaland has company this season
",Will Erling Haaland hold on to claim another Premier League Golden Boot? He’s got a six-goal advantage on Cole Palmer late in the season.
52,"
Premier League tiebreaker rules 2024: Goal difference, head-to-head record, how it works
",The Premier League tiebreaker rules will be needed on the final day of the 2023-24 season as Championship Sunday promises to be a wild day of permutations. 
53,"
Arsenal Premier League title chances: What do they need to win the league?
",Mikel Arteta’s Arsenal have taken the Premier League title race to the final weekend. Here’s everything you need to know
54,"
Premier League title betting 2024: Odds, predictions, bets for Man City, Arsenal on Championship Sunday
",The Premier League title race between Manchester City and Arsenal is going down to the final game of the season and the odds are intriguing as to what will happen and who will win it all. 
55,"
Premier League title scenario: How can Manchester City, Arsenal win the title?
",The Premier League title will be won on the final day of the 2023-24 season. How can City or Arsenal clinch it?
56,"
Arsenal vs Everton: How to watch live, stream link, team news
","Arsenal host Everton on Championship Sunday knowing they can win the Premier League title, but they need a huge favor from West Ham. "
57,"
2024 fantasy football playoff schedules to attack
",Kyle Dvorchak breaks down the most and least favorable matchups for the fantasy football playoffs. 
58,"
Defending champion Rose Zhang withdraws during Round 1 of Mizuho Americas Open
",Zhang had completed three holes before she made the decision to withdraw.
59,"
Brentford vs Newcastle: How to watch live, stream link, team news
",Newcastle United need a win at Brentford to give themselves the best chance of returning to European football next season.
60,"
Manchester City vs West Ham: How to watch live, stream link, team news
","What odds do you give West Ham United of surprising the Premier League with a win or draw on Championship Sunday, potentially denying a four-peat to Man City?"
61,"
Micah Hyde says he’ll either play for the Bills in 2024 or retire
","After the Bills lost to the Chiefs in January to end their postseason, veteran safety Micah Hyde told reporters that he wasn’t sure about his future with Buffalo. "
62,"
PST’s Premier League Awards for the 2023-24 season: Best XI, top player, manager, moment, more
",Two of the most fun things in Premier League fandom are predicting who will thrive in an upcoming season and reviewing who actually did the thing at the end of the campaign.
63,"
Robert Tonyan signs with Vikings
",Tight end Robert Tonyan will complete the NFC North grand slam this year. 
64,"
David Andrews, Patriots agree to extension through 2025 season
",Longtime Patriots center David Andrews is set to play at least two more seasons in New England. 
65,"
Why Aaron Gordon isn’t invited to Nuggets team dinners this series
","He missed one, the Nuggets started winning, and athletes don’t mess with a streak."
66,"
Hall of Fame Game to air on ESPN and ABC
","This year’s Hall of Fame Game will air on ESPN and ABC, the league announced today. "
67,"
Drake London: I want to go out there and make a stand for myself this season
","Wide receiver Drake London has been productive over his first two seasons with the Falcons, but he’s looking for more from himself in Year Three. "
68,"
Updated Preview of the 149th Preakness Stakes: Kentucky Derby winner Mystik Dan the Favorite
",Field of 8 set to run for the second jewel of horse racing’s Triple Crown
69,"
Former world champion Alaphilippe wins the hilly Stage 12 of the Giro d’Italia; Pogacar still leads
","It was Julian Alaphilippe’s first victory in the Giro d’Italia, to go with his six stage wins at the Tour de France and one at the Spanish Vuelta, plus his back-to-back world titles in 2020 and 2021."
70,"
Queen’s Club to stage women’s event next year in run-up to Wimbledon
","The Queen’s Club will stage a women’s tennis tournament next year for the first time in more than a half-century, though it may prove to be a one-off."
71,"
Tommy Paul advances to the Italian Open semifinals. It’s the American’s best result on clay
",Tommy Paul has produced the biggest clay-court result of his career at the Italian Open. And he’s still going.
72,"
Monaco to host the start of the 2026 Spanish Vuelta
",The grand tour’s first stage will take place entirely in the tiny principality known for its iconic Formula 1 event. The second stage of the three-week race will also start in Monaco.
73,"
Tom Brady has no limitations on games he can work, despite pending effort to buy piece of Raiders
",Tom Brady will serve as a broadcaster for Fox this year. 
74,"
Blast Rate: What is it and who stands out? 
",James Schiano breaks down Statcast’s new Blast Rate statistic and which players stand out from around MLB. 
75,"
Jared Goff on Amon-Ra St. Brown, Penei Sewell extensions: I couldn’t be happier for them
",Quarterback Jared Goff’s contract extension was the third in a line of key offensive players the Lions have locked up this spring. 
76,"
One Hot Night tops memorable NASCAR All-Star Race moments
",The annual All-Star Race has delivered fireworks for NASCAR fans and drivers. 
77,"
Lions sign TE Sean McKeon
",The Lions made a change to their tight end room on Thursday. 
78,"
Rory McIlroy clanks approach shot off flagstick in making birdie at PGA Championship
",McIlroy nearly jarred his approach shot from the rough on his 10th hole of the day.
79,"
NFL says it will have two Christmas games in 2025
",The NFL said last year that it won’t play games on Christmas this year. 
80,"
No decision yet on announcers for Netflix games
","For the first time this season, Netflix will show NFL games. "
81,"
Aaron Rodgers “thought about” joining the Robert F. Kennedy Jr. ticket
",It’s unclear whether he would have stopped playing or done both.
82,"
Manchester City admit nerves, focused on not repeating previous final day title drama
",“If you don’t like playing in these games you shouldn’t play football.”
83,"
CBS, Fox will both have doubleheaders in Week 15
",The 2024 NFL schedule breaks with tradition when it comes to when CBS and Fox will both have doubleheaders on the same weekend. 
84,"
How to watch the 2024 Black-Eyed Susan Stakes: Date, streaming, post time, odds, poll positions, payouts
","The historic Black-Eyed Susan Stakes takes place this Friday, May 17 at 4:30 PM ET on Peacock. "
85,"
How to watch 2024 Preakness Stakes: TV and stream info, schedule, start time, top horses, poll position
","It’s Triple Crown season and the 2024 Preakness Stakes are finally here. Tune to NBC on Saturday, May 18 at 4:30 PM ET. "
86,"
Xavier Worthy’s car was stolen overnight in Kansas City
",Xavier Worthy has been welcomed to Kansas City in a way he didn’t expect. 
87,"
Jared Goff on new deal: Security, no-trade clause were biggest factors for me
","A trade brought Jared Goff to Detroit, but it’s not something he wants to go through twice. "
88,"
For his first game with Steelers, Arthur Smith will go back to Atlanta
","Week 1 has plenty of great games, as it always does. "
89,"
New Premier League kits for the 2024-25 season
",New kits for the 2024-25 Premier League season are being released and here are the latest new arrivals. 
90,"
2024 NBA Playoffs Takeaways: Summer of change in Cleveland starts with Mitchell’s decision
","Coach J.B. Bickerstaff’s job is in danger, and Darius Garland could be gone as well."
91,"
Lions announce Jared Goff extension
",It’s official. 
92,"
2024 NBA Playoffs Bracket: Schedule, matchups and scores for Second Round
","We’ve got dates, times and where to watch for all the second round NBA playoff games"
93,"
Giants unveil alternate uniforms to commemorate 100th anniversary
",The Giants will be celebrating their 100th anniversary this season and an alternate uniform will be part of that effort. 
94,"
NFL’s Netflix move is another blow to the NBA
",The NFL has taken Christmas from the NBA. 
95,"
Panthers, Patriots are underdogs in every game
","The Panthers and Patriots will be at the bottom of the NFL this season, if the betting lines are to be believed. "
96,"
Mystik Dan Triple Crown 2024: Preakness odds, post position, past Triple Crown winners, jockey, owner
",Here’s how the 150th Kentucky Derby winner projects for the Preakness Stakes at Pimlico Race Course.
97,"
For the Jets, the early schedule is weird, but manageable
","For the third straight year, the Jets drew a challenging early-season schedule. "
98,"
Bills sign Dee Delaney, cut Quintez Cephus
",The Bills did a little roster shuffling on Thursday morning. 
99,"
NASCAR championship weekend returning to Phoenix in 2025
",The three national NASCAR series will crown champions Oct. 31-Nov. 2.
100,"
Rams promote DBs coach Aubrey Pleasant to assistant head coach
",The Rams have added a title for one of their key coaches in 2024. 
101,"
T.J. Hockenson: Incredible progress in knee rehab, no timeline for return
","The Vikings now know their schedule for the 2024 season, but they are still waiting to find out when tight end T.J. "
102,"
49ers are favored in all 17 games on their 2024 schedule
","The NFL schedule makers didn’t do the 49ers any favors by giving them four opponents coming off bye weeks, but that doesn’t matter to the sports books, who see San Francisco as the strongest team in the league. "
103,"
Art Rooney II: Six AFC North games in final eight weeks will be a challenge
",The Steelers will be spending a lot of time in the AFC North during the second half of the 2024 season. 
104,"
In 2024 Preakness without Muth, can Derby winner Mystik Dan pull off another victory?
",A look at the field for this year’s Preakness Stakes.
105,"
Chris Simms’ 2024 Top 40 QB Countdown: Full rankings and breakdowns ahead of the 2024 NFL season
","This month Chris Simms will rank and analyze a group of quarterbacks on each Chris Simms Unbuttoned episode. It all leads up to the reveal of his top 4 QB’s on Monday, June 10."
106,"
NASCAR Cup, Truck weekend schedule at North Wilkesboro Speedway
",Two national NASCAR series return to North Wilkesboro Speedway. 
107,"
Bills, Browns, Bears, Vikings scheduled for three straight road games
",Among the scheduling quirks NFL fans look for when the schedule is released each year is which teams have been scheduled to play three straight road games come the fall. 
108,"
Taking a look at the likely Tom Brady games
","Unless he ends up playing again (and he has opened the door to an in-season comeback), Tom Brady will call games for Fox this year. "
109,"
Saquon Barkley will be back at MetLife Stadium in Week 7
",Giants fans have made their displeasure with running back Saquon Barkley’s decision to sign with the Eagles clear over the last couple of months and they found out on Wednesday night when they’ll have their chance to do so during a game between the NFC East rivals. 
110,"
Charlotte Hornets fantasy basketball season recap
","Another injury-plagued season resulted in a return to the lottery for the Hornets, but there were multiple players that shined during silly season."
111,"
NFL schedule gives 49ers a tough slate, with four opponents coming off bye weeks
","The NFL schedule makers dealt a bad hand to the 49ers, with San Francisco set to be less rested than its opponents for much of the season. "
112,"
Saves and Steals: Helsley off to dominant start
",Jorge Montanez breaks down the week of saves across baseball in his weekly closer rankings and highlights some steals options on the waiver wire.
113,"
Doncic triple-double, Dallas defense spark 104-92 win in Oklahoma City to go up 3-2
","Doncic said the OKC crowd’s “Luka Sucks” chants, “it gets me going.” "
114,"
Podcast: We’re on to La Costa after chaos at NCAA men’s regionals
",Burko and Brentley recap a wild Wednesday of NCAA Division I men’s golf regionals.
115,"
Makar scores 2 goals and Avalanche beat Stars 5-3 in Game 5 to stay alive in playoffs
",Colorado snapped its three-game losing streak to extend the second-round Western Conference Series.
116,"
Odell Beckham was initially hesitant to play with a left-handed QB
",Odell Beckham is playing for his fourth team in four years. 
117,"
Lions scheduled for six standalone games in 2024
",Get ready to see plenty of Lions football in 2024. 
118,"
Jayson Tatum scores 25 to lead Celtics past Cavaliers 113-98 and into 3rd consecutive East finals
",The Celtics advanced to the Eastern Conference finals for the third straight season. 
119,"
Cardinals-Rams, Falcons-Commanders among games in Saturday pool for Week 17
","Once again, NFL Network will have a late-season Saturday triple-header. "
120,"
ABC will have seven Monday night games this year
",Monday Night Football debuted on ABC in 1970 and remained there until 2006. 
121,"
Harbaugh Bowl set for Monday Night Football in Week 12
","The Chargers finished only 5-12 last season, but after hiring Jim Harbaugh from Michigan, they drew three primetime games. "
122,"
Saints to host Sean Payton, Broncos on Thursday night in Week 7
","Saints fans grew accustomed to rooting for Sean Payton to win games in the Superdome, but they won’t be doing that in Week Seven this season. "
123,"
Kirk Cousins returns to Minnesota on December 8 — not in prime time
",Kirk Cousins makes his return to Minnesota on December. 
124,"
Before Christmas games, Chiefs host Texans, Ravens host Steelers on Saturday in Week 16
","With the Chiefs, Steelers, Ravens, and Texans all playing on Christmas Day, the four teams are all playing on Saturday in Week 16. "
125,"
NFL schedule gives Panthers no prime time games
","The Panthers are expected to be one of the worst teams in the NFL this season — by the betting odds, by fans, by the media, and even by the NFL schedule makers. "
126,"
Monday night Chargers-Cardinals game in Week 7 will stream on ESPN+
",Add another streaming service to the list. 
127,"
Russell Wilson set to return to Denver in Week 2
",Russell Wilson and the Broncos won’t have to wait long to see each other again. 
128,"
Chiefs play at least one game on every day of the week except Tuesday
","When you are two-time defending Super Bowl champions, you should plan to play a lot of standalone games. "
129,"
Thirteen teams have a pair of 4-day turnarounds
","For years, the NFL required teams to play only once per year with a four-day turnaround. "
130,"
Texans have six prime-time or standalone games on 2024 schedule
","The Texans played out of the spotlight for most of the 2023 season, but that won’t be the case in 2024. "
131,"
NCAA men’s regionals: High drama as top seed, four No. 2 seeds fail to advance
","Everything you need to know from the final day of NCAA D-I men’s golf regionals, including the biggest story from each site."
132,"
Knicks fan Scott McLaughlin backs up the smack by posting fastest speed in Indianapolis 500 practice
",IndyCar star for Team Penske has productive day as Indy 500 practice limited by rain.
133,"
Jaguars stadium deal has more hurdles to clear
","The striking of a deal between the Jaguars and the mayor of Jacksonville to renovate the team’s stadium is the beginning, not the end. "
134,"
Report: Cameron Heyward skipping voluntary offseason workouts as he seeks a new deal
","Steelers defensive lineman Cameron Heyward has not attended the team’s voluntary offseason workouts as he seeks a contract extension, Jeremy Fowler of ESPN reports. "
135,"
Report: Netflix will pay “about $75 million” each for Christmas games
",NFL gets $150 million windfall by changing mind about playing Wednesday games.
136,"
Manchester United 3-2 Newcastle: Big W for Red Devils
","Erik ten Hag’s Manchester United gave themselves a huge boost in their fight to return to Europe, toppling a wounded Newcastle at Old Trafford."
137,"
Brighton 1-2 Chelsea: Blues hold on after late red card
",Cole Palmer and Christopher Nkunku gave Chelsea a two-goal lead but a petulant Reece James kick-out gave Brighton a chance to come back late at the Amex Stadium.
138,"
Danielle Collins keeps on winning even with retirement looming. She’s in the Italian Open semifinals
",Danielle Collins has been nearly unbeatable lately. Even with her announced retirement looming.
139,"
Jett Lawrence reflects on highs and lows of the 2024 Supercross Championship
","Jett Lawrence remains perfect with three 450 titles and three attempts, but the season was not without challenges. "
140,"
Jaguars agree to terms with LB Ty Summers
","Free agent linebacker Ty Summers has agreed to terms with the Jaguars, Chris Tomasson of the Denver Gazette reports. "
141,"
Commanders sign Damiere Byrd
",Free agent wide receiver Damiere Byrd is heading to Washington. 
142,"
Bronny James at NBA Combine trying to carve out legacy that is not LeBron’s son
",“I just want to have people know my name is Bronny James and not being identified as just LeBron James’ son.”
143,"
Special invitations becoming more art than math for PGA of America
",There are 16 players from LIV Golf in the field at this week’s PGA Championship.
144,"
Giants sign sixth-round pick Darius Muasau
",The Giants have another draft pick under contract. 
145,"
Robby Albarado is ‘living vicariously’ through Mystik Dan from the Kentucky Derby to the Preakness
",Albardo has become exercise rider to the newest star in horse racing.
146,"
The PGA Championship: Late DFS Plays and Bets
",Longer shots to consider at Valhalla 
147,"
Jets have seven standalone games in 11 weeks and two Sunday-to-Thursday turnarounds
",Someone in New York City really doesn’t like the Jets. 
148,"
Falcons sign CB Anthony Johnson
",The Falcons are bringing in some more depth for their secondary. 
149,"
Greg Olsen lands on Fox No. 2 team with Joe Davis
",Greg Olsen’s $7 million haircut is official. 
150,"
Netflix announces Jerry Jones documentary series is 10 parts
",Netflix has announced its 10-part documentary series on Jerry Jones. 
151,"
NASCAR Cup drivers to watch in Sunday night’s All-Star Race at North Wilkesboro Speedway
",Cup teams head to North Wilkesboro for the annual All-Star Open and All-Star Race. 
152,"
Rory McIlroy says PGA Tour ‘in a worse place’ with Saudis after Jimmy Dunne’s resignation
",The world No. 2 said his confidence that the circuit can negotiate a deal with Saudi Arabia’s Public Investment has been rocked.
153,"
Third-round DB Elijah Jones signs his rookie deal with Cardinals
",The Cardinals have another draftee under contract. 
154,"
Chiefs-Steelers, Ravens-Texans will play on Christmas Day
",The Chiefs and Ravens will both be playing on Dec. 25 for the second year in a row. 
155,"
PGA’s Seth Waugh: 2025 Ryder Cup talks continue with Tiger Woods; no deadline set
",PGA CEO Seth Waugh stressed there’s no deadline to make their selection for the 2025 U.S. Ryder Cup captain.
156,"
Report: Jets scheduled for six prime-time games 
",We know that the Jets will be opening the season on Monday night for the second straight year and they’ve reportedly been scheduled for five more prime-time games as well. 
157,"
Black Eyed Susan Preakness Stakes cocktail: Recipe, how to make, ingredients, tradition, origin
","The 149th Preakness Stakes take place this Saturday, May 18 at Pimlico Race Course in Baltimore, Maryland. Live coverage begins at 4:30 PM ET on NBC. "
158,"
Broncos to sign P Trenton Gill
",The Broncos are adding a punter to their 90-man roster. 
159,"
It’s getting more and more expensive to watch the NFL on TV
","Ten years ago, when the NFL was facing political pressure to scrap the blackout rule, the league responded with a clumsy campaign to protect free football on TV. "
160,"
Odell Beckham Jr. on joining Dolphins: There’s a lot of room for opportunity
",Beckham discussed how he envisions fitting in Mike McDaniel’s offense during his introductory press conference on Wednesday.
161,"
Rose Zhang returns to defend Mizuho Americas as Nelly Korda looks to start new run
",Zhang snapped Korda’s winning streak last week and is the defending champion this week.
162,"
49ers sign sixth-round pick Jarrett Kingston, DL Shakel Brown
",The 49ers are down to one unsigned draft pick. 
163,"
The night Tottenham wanted to lose to hurt Arsenal
","Tottenham handed Manchester City the advantage in the Premier League title race, much to the delight of most of their fans. "
164,"
Eagles sign fifth-rounder Jeremiah Trotter Jr., sixth-rounder Dylan McMahon
",The Eagles signed two more draft picks on Wednesday. 
165,"
The Jets might have another rough start to the season
","In both 2022 and 2023, the NFL gave the Jets a schedule that was front-loaded with difficult games. "
166,"
Despite brace, Ludvig Åberg not thinking about knee at PGA Championship
","Åberg said the “knee’s good” as he prepares for his second career major start, at Valhalla."
167,"
Donovan Mitchell out for Game 5; Lakers, Nets among teams reportedly lining up trade offers
","Wednesday night could well be the end of the Cavaliers season, then the hard questions begin."
168,"
Reports: Dolphins-Packers, Giants-Cowboys slated for Thanksgiving
","As NFL schedule news drips out before tonight’s official announcement, two Thanksgiving games have been reported. "
169,"
Jeff Fisher becomes interim commissioner of Arena Football League 
",Former Titans and Rams coach Jeff Fisher has a new football gig. 
170,"
Dwayne Joseph departing Raiders to join Lions front office
",Detroit is adding to its front office. 
171,"
Milan wins chaotic sprint at end of Giro d’Italia Stage 11; Pogacar stays in pink
",Jonathan Milan edged out Tim Merlier and Kaden Groves in a bunch sprint that was made even more chaotic by the headwind at the finish at Francavilla al Mare.
172,"
Sabalenka eases past Ostapenko to reach Italian Open semifinals; Tabilo extends his surprising run
",Aryna Sabalenka showed no ill-effects from her previous marathon match as she eased past Jelena Ostapenko to reach the semifinals of the Italian Open.
173,"
Mathieu Van der Poel will skip mountain bike event at Paris Olympics to focus on road race
",The versatile Dutch racer said that combining the Tour and the road race is “the most logical” choice.
174,"
Giants’ Jung Hoo Lee has structural damage in injured left shoulder, will seek second opinion
",Jung Hoo Lee was placed on the 10-day injured list and met with team doctors.
175,"
Brooklyn Nets to retire Vince Carter’s No. 15
",He joins Jason Kidd as the only Nets with their numbers retired. 
176,"
Colts feel Anthony Richardson has “definitely” grown in offensive scheme, identifying defenses
",Colts quarterback Anthony Richardson has done well with the physical elements of his recovery from the shoulder surgery that cut his rookie season short. 
177,"
Justin Haley, Carson Hocevar are asking for your NASCAR All-Star votes in funny ways
",Justin Haley and Carson Hocevar have embraced campaigning for the All-Star Fan Vote. 
178,"
Muth Scratched: Updated Preview of the 149th Preakness Stakes with Odds and Analysis
",Derby-winner Mystik Dan is now the Favorite for the second jewel of horse racing’s Triple Crown.
179,"
Ty Summers working out for Jaguars Wednesday
",Linebacker Ty Summers’s search for a place to play this season is taking him back to one of his former employers. 
180,"
Cowboys plan to give Trey Lance “a ton” of reps in OTAs, training camp
",The Cowboys traded for Trey Lance last year and had him on their roster as their third quarterback. 
181,"
Travis Kelce: I like playing potential top teams early
","The full schedule for the 2024 season will be announced on Wednesday night, but the Chiefs got a head start on their planning this week. "
182,"
Jon Gruden has more moves to make in the Nevada court system
","Jon Gruden is down, but he’s not yet out. "
183,"
NFL, Netflix have three-year deal for Christmas Day games in 2024, 2025 and 2026
",NFL games on Netflix will become a Christmas tradition. 
184,"
Olympic men’s golf news update: Max Homa on heels of Patrick Cantlay for final U.S. spot
","Homa is ranked ninth in the OWGR, a spot out of the fourth and final Olympic qualifying position for Team USA."
185,"
Giants will be featured on a new offseason Hard Knocks on HBO in July
",The NFL’s long-lasting Hard Knocks documentary series is expanding once again. 
186,"
Inside the Jared Goff deal
",Here’s a full breakdown of Goff’s massive new contract.
187,"
Bengals DE Myles Murphy: I wasn’t in good football condition last year, I am now
",Bengals defensive end Myles Murphy didn’t make a big splash during his rookie season and the 2023 first-round pick thinks he knows why that was the case. 
188,"
Squared-Up Rate: What is it and who stands out? 
",Matthew Pouliot takes a look at Statcast’s Squared-up Rate and which MLB hitters stand out. 
189,"
Netflix lands the two 2024 Christmas games
",NFL brings a new broadcast partner to the table.
190,"
Preakness favorite Muth ruled out of the second leg of the Triple Crown after spiking a fever
",Bob Baffert announced that Preakness Stakes favorite Muth will not race the second leg of the Triple Crown after spiking a fever.
191,"
Kyle Larson will skip All-Star heat races at North Wilkesboro to focus on Indy 500 qualifying
",He will remain Saturday at Indianapolis Motor Speedway.
192,"
No, Kirk Cousins wouldn’t have signed with the Falcons if he’d known their draft plan
",One of the first thoughts that entered my addled brain after the Falcons made quarterback Michael Penix Jr. the eighth overall pick in the 2024 draft is that Kirk Cousins would not have signed with the Falcons six weeks earlier if he’d known that they would be using such a key asset not on someone who will help him win but on someone who will eventually replace him. 
193,"
Kevin O’Connell: I know everything will work out with Justin Jefferson
","Vikings wide receiver Justin Jefferson hasn’t signed a contract extension with the team yet, but head coach Kevin O’Connell remains confident that it is coming. "
194,"
U.S. Women’s Open qualifying results: Who will be at Lancaster Country Club
",Here’s who has made it through qualifying for this year’s U.S. Women’s Open.
195,"
Raheem Morris: Onus for info sharing is on Michael Penix, Kirk Cousins is trying to win
","During his Tuesday press conference, Falcons quarterback Kirk Cousins was asked what his leadership approach would be with rookie quarterback Michael Penix Jr. "
